"SiteName","Locator","Latitude","Longitude","Site Type","Area","New Georeferenced Column"
"Des Moines Creek Park","MTUJ01","47.4043999","-122.3310013","Marine Intertidal","Central Puget Sound","POINT (-122.3310013 47.4043999)"
"Penn Cove - ECY PNN001","PENNCOVEPNN001","48.23","-122.67","Marine Offshore","Whidbey","POINT (-122.67 48.23)"
"Fey Bainbridge Park","KRJY01","47.7042007","-122.5059967","Marine Intertidal","Central Puget Sound","POINT (-122.5059967 47.7042007)"
"Bear Creek at NE 133rd St","J484","47.717724","-122.0770833","Streams and Rivers","Bear","POINT (-122.0770833 47.717724)"
"Boise Creek mouth at SE Mud Mountain Rd","BSE_1MUDMTNRD","47.176086","-122.01844","Streams and Rivers","Boise","POINT (-122.01844 47.176086)"
"Lisabeula Park","MRUW01","47.4057999","-122.5220032","Marine Intertidal","Central Puget Sound","POINT (-122.5220032 47.4057999)"
"Cedar River at Bronson Way N","0438","47.482292","-122.2027889","Streams and Rivers","Cedar","POINT (-122.2027889 47.482292)"
"Fauntleroy Cove","LSVV01","47.5247993","-122.3980026","Marine Offshore","Central Puget Sound","POINT (-122.3980026 47.5247993)"
"Lake Washington near Coal Creek","0832","47.574226","-122.19256","Large Lakes","Lake Washington","POINT (-122.19256 47.574226)"
"Seattle Waterfront - Grain Terminal","LTAB01","47.6260986","-122.3700027","Marine Intertidal","Central Puget Sound","POINT (-122.3700027 47.6260986)"
"North Fork Snoqualmie at 428th Ave SE","NFK_SNQ","47.52194444","-121.7694444","Streams and Rivers","Snoqualmie - North Fork","POINT (-121.7694444 47.52194444)"
"Pipers Creek upstream of S Ridge Trail","KTHA02","47.71077778","-122.3717194","Streams and Rivers","Pipers","POINT (-122.3717194 47.71077778)"
"Mount Baker Park","0820SB","47.583332","-122.28723","Swimming Beaches","Lake Washington","POINT (-122.28723 47.583332)"
"Lake Union east shore","0532","47.642597","-122.33124","Large Lakes","Lake Union/Ship Canal","POINT (-122.33124 47.642597)"
"Carkeek Park","ITCARKEEKP","47.7126007","-122.3789978","Marine Intertidal","Central Puget Sound","POINT (-122.3789978 47.7126007)"
"Me-Kwa-Mooks Park","LSLT02","47.5639","-122.4069977","Marine Intertidal","Central Puget Sound","POINT (-122.4069977 47.5639)"
"Laughing Jacobs at Hans Jensen Youth Camp","B670","47.565111","-122.050499","Streams and Rivers","Laughing Jacobs","POINT (-122.050499 47.565111)"
"Saratoga Passage - Onamac Point","SARATOGAOP","48.184","-122.55","Marine Offshore","Whidbey","POINT (-122.55 48.184)"
"Lake Washington off Madrona Park","0846","47.609814","-122.267975","Large Lakes","Lake Washington","POINT (-122.267975 47.609814)"
"Judd Creek near end of SW 225th St","VA42A","47.40328333","-122.4687167","Streams and Rivers","Judd","POINT (-122.4687167 47.40328333)"
"Saratoga Passage - Rocky Point","SARATOGARP","48.24","-122.55","Marine Offshore","Whidbey","POINT (-122.55 48.24)"
"Penn Cove entrance","PENNCOVEENT","48.237","-122.655","Marine Offshore","Whidbey","POINT (-122.655 48.237)"
"Redondo Beach","NTFK01","47.3494987","-122.3239975","Marine Intertidal","Central Puget Sound","POINT (-122.3239975 47.3494987)"
"Golden Gardens Park","KSLU03","47.6918983","-122.4049988","Marine Intertidal","Central Puget Sound","POINT (-122.4049988 47.6918983)"
"Lake Washington south of I-90","0890","47.575436","-122.2673","Large Lakes","Lake Washington","POINT (-122.2673 47.575436)"
"Point Williams Buoy","PTWILLBUOY","47.5371639","-122.406117","Marine Offshore","Central Puget Sound","POINT (-122.406117 47.5371639)"
"Ravensdale mouth","LSIN9","47.32622222","-122.0281111","Streams and Rivers","Ravensdale","POINT (-122.0281111 47.32622222)"
"Groveland Park Beach","GROVELDSB","47.551304","-122.23441","Swimming Beaches","Lake Washington","POINT (-122.23441 47.551304)"
"Point Wells - Discontinued","PTWELLS1","47.78523583","-122.4070333","Marine Offshore","Central Puget Sound","POINT (-122.4070333 47.78523583)"
"Mill Creek at Earthworks Park","A318","47.382709","-122.223881","Streams and Rivers","Mill","POINT (-122.223881 47.382709)"
"Longfellow Creek at SW Brandon St","J370","47.55386111","-122.3669444","Streams and Rivers","Longfellow","POINT (-122.3669444 47.55386111)"
"South Fork Snoqualmie at Snoqualmie Valley Trail","SFK_SNQ","47.50202","-121.78639","Streams and Rivers","Snoqualmie - South Fork","POINT (-121.78639 47.50202)"
"Ebright Creek mouth at E Lake Sammamish Pkwy","A685","47.60833333","-122.0725","Streams and Rivers","Ebright","POINT (-122.0725 47.60833333)"
"South Plant Outfall North","RT625NP","47.60317194","-122.4273944","Marine Offshore","Central Puget Sound","POINT (-122.4273944 47.60317194)"
"Port Susan - Kayak Point","PSUSANKP","48.13","-122.4","Marine Offshore","Whidbey","POINT (-122.4 48.13)"
"Bear Creek at NE 95th St","C484","47.68555556","-122.0889167","Streams and Rivers","Bear","POINT (-122.0889167 47.68555556)"
"Cottage Lake Creek","N484A","47.740246","-122.08261","Streams and Rivers","Cottage Lake Creek","POINT (-122.08261 47.740246)"
"Lake Washington near Thornton Creek","0817","47.694836","-122.269646","Large Lakes","Lake Washington","POINT (-122.269646 47.694836)"
"Laughin Jacobs mouth at E Lake Sammamish Pkwy","A670","47.56565556","-122.0526194","Streams and Rivers","Laughing Jacobs","POINT (-122.0526194 47.56565556)"
"Mercer Slough at 121st Ave SE","0444","47.60308333","-122.1812222","Streams and Rivers","Mercer Slough","POINT (-122.1812222 47.60308333)"
"Beaver Lake Swim Beach","A709SB","47.58738","-122.00242","Swimming Beaches","Beaver Lake","POINT (-122.00242 47.58738)"
"Tahlequah Creek mouth at SW Pohl Rd","VA37A","47.334575","-122.5086028","Streams and Rivers","Tahlequah","POINT (-122.5086028 47.334575)"
"Mouth of Lake Washington Ship Canal","KSQU01","47.6721992","-122.4049988","Marine Intertidal","Central Puget Sound","POINT (-122.4049988 47.6721992)"
"Crisp Creek below hatchery intake","F321","47.289795","-122.058205","Streams and Rivers","Crisp","POINT (-122.058205 47.289795)"
"Ship Canal under I-5 bridge","0536","47.653347","-122.32237","Large Lakes","Lake Union/Ship Canal","POINT (-122.32237 47.653347)"
"Penn Cove - Coupeville wharf","PENNCOVECW","48.223","-122.688","Marine Offshore","Whidbey","POINT (-122.688 48.223)"
"Raging River mouth near Dike Rd","RAGING_MTH","47.566887","-121.88341","Streams and Rivers","Raging River","POINT (-121.88341 47.566887)"
"Crisp Creek at SE 348th St above hatchery intake","FF321","47.29075","-122.05682","Streams and Rivers","Crisp","POINT (-122.05682 47.29075)"
"Green River at SE Auburn-Black Diamond Rd","A319","47.30148","-122.1749","Streams and Rivers","Green","POINT (-122.1749 47.30148)"
"Carkeek Outfall","KSIW02","47.7089005","-122.3899994","Marine Offshore","Central Puget Sound","POINT (-122.3899994 47.7089005)"
"Griffin Creek at E Griffin Creek Rd","GRIFFIN","47.6101","-121.89312","Streams and Rivers","Griffin Creek","POINT (-121.89312 47.6101)"
"Duwamish at E Marginal Way","0309","47.50069444","-122.2881667","Streams and Rivers","Duwamish","POINT (-122.2881667 47.50069444)"
"Issaquah Creek at SE 56th St","0631","47.55216667","-122.0479444","Streams and Rivers","Issaquah","POINT (-122.0479444 47.55216667)"
"West Point North Beach","KSSN04","47.6623993","-122.4339981","Marine Intertidal","Central Puget Sound","POINT (-122.4339981 47.6623993)"
"Alki Beach","LSHV01","47.5836983","-122.401001","Marine Intertidal","Central Puget Sound","POINT (-122.401001 47.5836983)"
"Lake Sammamish near Pine Lake Creek","M621","47.601192","-122.08202","Large Lakes","Lake Sammamish","POINT (-122.08202 47.601192)"
"Issaquah Creek North Fork mouth at 4th Ave NW","A632","47.54619444","-122.0416111","Streams and Rivers","Issaquah","POINT (-122.0416111 47.54619444)"
"Vashon Outfall Beach","MSJL01","47.453701","-122.4440002","Marine Intertidal","Central Puget Sound","POINT (-122.4440002 47.453701)"
"Juanita Creek at NE 132nd St","C446","47.71816667","-122.2039444","Streams and Rivers","Juanita","POINT (-122.2039444 47.71816667)"
"Alki Outfall","LSKQ06","47.5703011","-122.4219971","Marine Offshore","Central Puget Sound","POINT (-122.4219971 47.5703011)"
"Molasses Creek at Preserve at Cedar River apartments","0463","47.466198","-122.159083","Streams and Rivers","Molasses","POINT (-122.159083 47.466198)"
"Swamp Creek at Carter Rd","BB470","47.77975","-122.2509722","Streams and Rivers","Swamp","POINT (-122.2509722 47.77975)"
"South Central Elliott Bay","LTED04","47.6035995","-122.3570023","Marine Offshore","Central Puget Sound","POINT (-122.3570023 47.6035995)"
"Pine Lake Creek mouth at E Lake Sammamish Pkwy","A680","47.60105556","-122.0800833","Streams and Rivers","Pine Lake","POINT (-122.0800833 47.60105556)"
"Andrews Bay Seward Park","0813SB","47.55136","-122.25775","Swimming Beaches","Lake Washington","POINT (-122.25775 47.55136)"
"Matthews Beach","0818SB","47.69675","-122.27267","Swimming Beaches","Lake Washington","POINT (-122.27267 47.69675)"
"Cedar River at Belmondo Reach","A438","47.457382","-122.07572","Streams and Rivers","Cedar","POINT (-122.07572 47.457382)"
"Luther Burbank Park Beach","SD017SB","47.58786","-122.22425","Swimming Beaches","Lake Washington","POINT (-122.22425 47.58786)"
"Venema Creek at Pipers Creek Trail","KTHA03","47.71105556","-122.3717778","Streams and Rivers","Venema","POINT (-122.3717778 47.71105556)"
"Lake Union near west shore","0522","47.63371","-122.338745","Large Lakes","Lake Union/Ship Canal","POINT (-122.338745 47.63371)"
"McAleer at Bothell Way NE","A432","47.75194722","-122.2812778","Streams and Rivers","McAleer","POINT (-122.2812778 47.75194722)"
"Lake Union mid-lake","0526","47.636765","-122.33457","Large Lakes","Lake Union/Ship Canal","POINT (-122.33457 47.636765)"
"Normandy Park","MTLD03","47.4425011","-122.3570023","Marine Intertidal","Central Puget Sound","POINT (-122.3570023 47.4425011)"
"Lake Washington Meydenbauer Bay","0834","47.61025","-122.211914","Large Lakes","Lake Washington","POINT (-122.211914 47.61025)"
"Green River at 212th Way SE","B319","47.28236111","-122.0553333","Streams and Rivers","Green","POINT (-122.0553333 47.28236111)"
"South Fork Skykomish at hwy 2 mile marker 47.5","SKYKOMISH","47.711452","-121.373344","Streams and Rivers","Skykomish","POINT (-121.373344 47.711452)"
"Vasa Creek at W LK Sammamish Parkway","A618","47.578352","-122.113621","Streams and Rivers","Vasa","POINT (-122.113621 47.578352)"
"Magnuson Park Off Leash Area","0826OLA","47.68556","-122.248344","Swimming Beaches","Lake Washington","POINT (-122.248344 47.68556)"
"Bear Creek upstream of mouth","0484A","47.6676946","-122.1222788","Streams and Rivers","Bear","POINT (-122.1222788 47.6676946)"
"Sammamish River at NE 145th St","0450CC","47.73283333","-122.1455556","Streams and Rivers","Sammamish","POINT (-122.1455556 47.73283333)"
"Mill Creek near 68th Ave S and S 262nd St","A315","47.36733333","-122.2485278","Streams and Rivers","Mill","POINT (-122.2485278 47.36733333)"
"Cochran Springs near Lake Washington Blvd","A499","47.64516","-122.20226","Streams and Rivers","Cochran Springs","POINT (-122.20226 47.64516)"
"Duck Island Beach Green Lake","A734_GM21","47.680836","-122.34241","Swimming Beaches","Green Lake","POINT (-122.34241 47.680836)"
"Lake Union near west shore","A522","47.63289","-122.337975","Large Lakes","Lake Union/Ship Canal","POINT (-122.337975 47.63289)"
"Lake Washington north end","0804","47.746765","-122.27124","Large Lakes","Lake Washington","POINT (-122.27124 47.746765)"
"Ship Canal near Montlake Bridge","0540","47.64731","-122.30525","Large Lakes","Lake Union/Ship Canal","POINT (-122.30525 47.64731)"
"Logboom Park","0801SB","47.757637","-122.26559","Swimming Beaches","Lake Washington","POINT (-122.26559 47.757637)"
"Duwamish River - East Waterway","HNFD01","47.5769997","-122.3440018","Marine Offshore","Central Puget Sound","POINT (-122.3440018 47.5769997)"
"May Creek at Lake Washington Blvd N","0440","47.52997222","-122.2013056","Streams and Rivers","May","POINT (-122.2013056 47.52997222)"
"Lake Washington Yarrow Bay","0814","47.65342","-122.21125","Large Lakes","Lake Washington","POINT (-122.21125 47.65342)"
"Piper's Creek","KTHA01","47.71056","-122.36928","Streams and Rivers","Pipers","POINT (-122.36928 47.71056)"
"Hidden Lake Beach","0207SB","47.752182","-122.36998","Swimming Beaches","Hidden Lake","POINT (-122.36998 47.752182)"
"Little Bear Creek at Little Bear Creek Rd","S478","47.81144444","-122.159004","Streams and Rivers","Little Bear","POINT (-122.159004 47.81144444)"
"Gorsuch Creek mouth near end of SW 167th St","VA65A","47.45363333","-122.4446389","Streams and Rivers","Gorsuch","POINT (-122.4446389 47.45363333)"
"Forbes Creek at 108th Ave NE","A456","47.695934","-122.19791","Streams and Rivers","Forbes","POINT (-122.19791 47.695934)"
"Juanita Beach","0806SB","47.703724","-122.21491","Swimming Beaches","Lake Washington","POINT (-122.21491 47.703724)"
"Olson Creek upstream of Green River Rd.","0326","47.343468","-122.20497","Streams and Rivers","Olson","POINT (-122.20497 47.343468)"
"Waverly Park Beach","WAVRLYPSB","47.68707","-122.21724","Swimming Beaches","Lake Washington","POINT (-122.21724 47.68707)"
"Madrona Park","SD007SB","47.608776","-122.282616","Swimming Beaches","Lake Washington","POINT (-122.282616 47.608776)"
"Jefferson Head","KSBP01","47.7439995","-122.4280014","Marine Offshore","Central Puget Sound","POINT (-122.4280014 47.7439995)"
"Rock Creek at Rock Creek Natural Area","0464","47.374298","-122.015715","Streams and Rivers","Rock","POINT (-122.015715 47.374298)"
"Madison Park","0852SB","47.63556","-122.276405","Swimming Beaches","Lake Washington","POINT (-122.276405 47.63556)"
"Tramp Harbor","MSSM05","47.4132996","-122.4369965","Marine Intertidal","Central Puget Sound","POINT (-122.4369965 47.4132996)"
"Lake Washington off Webster Point","0544","47.64668","-122.27599","Large Lakes","Lake Washington","POINT (-122.27599 47.64668)"
"Juanita Creek mouth at NE Juanita Dr","0446","47.70536111","-122.2167778","Streams and Rivers","Juanita","POINT (-122.2167778 47.70536111)"
"Magnuson Park Swim Beach","0826SB","47.680447","-122.246635","Swimming Beaches","Lake Washington","POINT (-122.246635 47.680447)"
"Covington Creek at SE Auburn-Black Diamond Rd","C320","47.312298","-122.09658","Streams and Rivers","Covington","POINT (-122.09658 47.312298)"
"Patterson Creek mouth at W Snoqualmie River Rd SE","PATTER_3","47.59161","-121.92672","Streams and Rivers","Patterson Creek","POINT (-121.92672 47.59161)"
"Ames Creek mouth at NE 100th St","AMES_1","47.686836","-121.98314","Streams and Rivers","Ames Creek","POINT (-121.98314 47.686836)"
"Pioneer Square Habitat Beach","LTEH13","47.601155","-122.336693","Marine Intertidal","Central Puget Sound","POINT (-122.336693 47.601155)"
"Lincoln Park","LSTU01","47.5299988","-122.401001","Marine Intertidal","Central Puget Sound","POINT (-122.401001 47.5299988)"
"Patterson Creek upstream of 308th Ave SE","PATTER_4","47.580799","-121.93205","Streams and Rivers","Patterson Creek","POINT (-121.93205 47.580799)"
"Point Wells","JSTU01","47.7807007","-122.4029999","Marine Offshore","Central Puget Sound","POINT (-122.4029999 47.7807007)"
"Lake Sammamish State Park","0615SB","47.556667","-122.071556","Swimming Beaches","Lake Sammamish","POINT (-122.071556 47.556667)"
"Lake Washington YSI Profiler Buoy","WABUOY","47.612137","-122.25408","Large Lakes","Lake Washington","POINT (-122.25408 47.612137)"
"Griffin Creek off NE 8th ST","GRIFFIN_1","47.616448","-121.901486","Streams and Rivers","Griffin Creek","POINT (-121.901486 47.616448)"
"Crisp Creek mouth at SE Green Valley Rd","0321","47.28836111","-122.0671389","Streams and Rivers","Crisp","POINT (-122.0671389 47.28836111)"
"Lake Sammamish near Pine Lake Creek","0621","47.60399","-122.08067","Large Lakes","Lake Sammamish","POINT (-122.08067 47.60399)"
"Lake Wilderness Park Beach","O717SB","47.37683","-122.03883","Swimming Beaches","Lake Wilderness","POINT (-122.03883 47.37683)"
"South Plant Outfall South","RT625SP","47.59922222","-122.4274583","Marine Offshore","Central Puget Sound","POINT (-122.4274583 47.59922222)"
"Zackuse Creek","A687","47.61096","-122.069695","Streams and Rivers","Zackuse","POINT (-122.069695 47.61096)"
"Springbrook Creek mouth at SW 16th St","0317","47.46586111","-122.2326389","Streams and Rivers","Springbrook/Black River","POINT (-122.2326389 47.46586111)"
"Seattle Waterfront - Ferry Terminal","LTEH02","47.6016998","-122.3389969","Marine Intertidal","Central Puget Sound","POINT (-122.3389969 47.6016998)"
"Carkeek Outfall","CK200P","47.7126999","-122.3880005","Marine Offshore","Central Puget Sound","POINT (-122.3880005 47.7126999)"
"Pine Lake Beach","E708SB","47.587193","-122.041","Swimming Beaches","Pine Lake","POINT (-122.041 47.587193)"
"Point Wells","JSUR01","47.777401","-122.4179993","Marine Offshore","Central Puget Sound","POINT (-122.4179993 47.777401)"
"Lake Sammamish near George Davis Creek","0622","47.615276","-122.06947","Large Lakes","Lake Sammamish","POINT (-122.06947 47.615276)"
"Coal Creek upstream of 378th AVE SE","COAL_1","47.526112","-121.837106","Streams and Rivers","Coal","POINT (-121.837106 47.526112)"
"Maplewood Creek upstream of sediment pond","A462","47.475277","-122.163086","Streams and Rivers","Maplewood","POINT (-122.163086 47.475277)"
"Lewis Creek mouth at 187th Ave SE","A617","47.57061111","-122.0922778","Streams and Rivers","Lewis","POINT (-122.0922778 47.57061111)"
"West of Ballard Locks","KSRU02","47.6669006","-122.401001","Marine Offshore","Central Puget Sound","POINT (-122.401001 47.6669006)"
"Lake Sammamish near outlet","0625","47.65242","-122.10658","Large Lakes","Lake Sammamish","POINT (-122.10658 47.65242)"
"Duwamish Park","LTTL02","47.5315018","-122.3199997","Marine Intertidal","Central Puget Sound","POINT (-122.3199997 47.5315018)"
"Denny Way Short Outfall","LTBC41","47.6221008","-122.3700027","Marine Offshore","Central Puget Sound","POINT (-122.3700027 47.6221008)"
"Evans Creek at NE 50th St","S484","47.652447","-122.051445","Streams and Rivers","Evans","POINT (-122.051445 47.652447)"
"Port Susan - Stillaguamish buoy","PSUSANBUOY","48.175","-122.42","Marine Offshore","Whidbey","POINT (-122.42 48.175)"
"SAM Sculpture Park","LTBD27","47.6171989","-122.3580017","Marine Intertidal","Central Puget Sound","POINT (-122.3580017 47.6171989)"
"Harris Creek at Carnation Duvall Rd","HARRIS_1","47.67805556","-121.90733","Streams and Rivers","Harris Creek","POINT (-121.90733 47.67805556)"
"Snoqualmie River at Taylor Landing","SNQDUVALL","47.745235","-121.986786","Streams and Rivers","Snoqualmie","POINT (-121.986786 47.745235)"
"Duwamish River/Boeing Bridge/burned bridge at 27th Ave S And S 104th St","0308","47.510933","-122.28457","Streams and Rivers","Duwamish","POINT (-122.28457 47.510933)"
"Longfellow Creek at SW Yancy St","C370","47.56759722","-122.3665167","Streams and Rivers","Longfellow","POINT (-122.3665167 47.56759722)"
"Green River at Interurban","0311","47.46547222","-122.2479444","Streams and Rivers","Green","POINT (-122.2479444 47.46547222)"
"Evans Creek at NE Union Hill Rd","B484","47.675114","-122.081276","Streams and Rivers","Evans","POINT (-122.081276 47.675114)"
"Lake Sammamish near Lewis Creek","0617","47.571766","-122.09429","Large Lakes","Lake Sammamish","POINT (-122.09429 47.571766)"
"Dockton Park","NSAJ02","47.376111","-122.45722","Marine Offshore","Central Puget Sound","POINT (-122.45722 47.376111)"
"Carey Creek upstream of 287th Ave SE","D650","47.422836","-121.961286","Streams and Rivers","Carey","POINT (-121.961286 47.422836)"
"Duwamish River - Harbor Island Marina","LTKE03","47.5695","-122.3509979","Marine Offshore","Central Puget Sound","POINT (-122.3509979 47.5695)"
"Denny Way Short Outfall","LTBC42","47.6179008","-122.3610001","Marine Offshore","Central Puget Sound","POINT (-122.3610001 47.6179008)"
"Echo Lake Park Swim Beach on NE Shore","A764SB","47.772804","-122.34131","Swimming Beaches","Echo Lake","POINT (-122.34131000000001 47.772804)"
"Lake Sammamish mid-lake central","0612","47.59121","-122.09568","Large Lakes","Lake Sammamish","POINT (-122.09568 47.59121)"
"North Creek mouth at Sammamish River Trail","0474","47.75630556","-122.1888333","Streams and Rivers","North","POINT (-122.1888333 47.75630556)"
"Magnolia CSO","KSYV02","47.6321983","-122.3990021","Marine Intertidal","Central Puget Sound","POINT (-122.3990021 47.6321983)"
"Seahurst Park","MTEC01","47.4780998","-122.3639984","Marine Intertidal","Central Puget Sound","POINT (-122.3639984 47.4780998)"
"Ship Canal near Fremont Bridge","0518","47.64778","-122.35","Large Lakes","Lake Union/Ship Canal","POINT (-122.35 47.64778)"
"Jenkins Creek at Kent Black Diamond Rd SE","D320","47.34041667","-122.1295556","Streams and Rivers","Jenkins","POINT (-122.1295556 47.34041667)"
"Little Soos Creek at SE 272nd St","G320","47.35797222","-122.1256944","Streams and Rivers","Little Soos","POINT (-122.1256944 47.35797222)"
"Sammamish River at NE Marymoor Way","0486","47.66236111","-122.1244444","Streams and Rivers","Sammamish","POINT (-122.1244444 47.66236111)"
"Idylwood Park Swim Beach","0602SB","47.64167","-122.100845","Swimming Beaches","Lake Sammamish","POINT (-122.100845 47.64167)"
"Dumas Bay","NSJY01","47.3260994","-122.3840027","Marine Intertidal","Central Puget Sound","POINT (-122.3840027 47.3260994)"
"Kennydale Park Beach","KNYDALESB","47.52325","-122.20781","Swimming Beaches","Lake Washington","POINT (-122.20781 47.52325)"
"George Davis Creek mouth at E Lake Sammamish Pkwy","A690","47.61547222","-122.0681667","Streams and Rivers","George Davis","POINT (-122.0681667 47.61547222)"
"Shinglemill Creek at SW Cedarhurst Rd","VA12A","47.4783","-122.4817389","Streams and Rivers","Shinglemill","POINT (-122.4817389 47.4783)"
"Tibbetts Creek","A630","47.554264","-122.06845","Streams and Rivers","Tibbetts","POINT (-122.06845 47.554264)"
"Rock Creek mouth","LSIN1","47.3225","-122.0281389","Streams and Rivers","Rock","POINT (-122.0281389 47.3225)"
"Middle Fork Snoqualmie at 428th Ave SE","MFK_SNQ","47.51599","-121.76917","Streams and Rivers","Snoqualmie - Middle Fork","POINT (-121.76917 47.51599)"
"Soos Creek above Soos Creek Hatchery","A320","47.312416","-122.16542","Streams and Rivers","Soos","POINT (-122.16542 47.312416)"
"Lake Washington mid-lake south","0831","47.51586","-122.219086","Large Lakes","Lake Washington","POINT (-122.219086 47.51586)"
"Fairweather Creek mouth downstream of 520 trail","0498","47.6365","-122.2306111","Streams and Rivers","Fairweather","POINT (-122.2306111 47.6365)"
"East Passage","NSEX01","47.3586006","-122.387001","Marine Offshore","Central Puget Sound","POINT (-122.387001 47.3586006)"
"Green River at Starfire Way","3106","47.46780556","-122.2489722","Streams and Rivers","Green","POINT (-122.2489722 47.46780556)"
"Tibbetts Creek mouth at footbridge","X630","47.554","-122.0695556","Streams and Rivers","Tibbetts","POINT (-122.0695556 47.554)"
"Maplewood Creek at Maplewood Golf Course","0462","47.474321","-122.163587","Streams and Rivers","Maplewood","POINT (-122.163587 47.474321)"
"Miller Creek at Normandy Park Community Club","MILLER","47.44456","-122.35451","Streams and Rivers","Miller","POINT (-122.35451 47.44456)"
