"Sample ID","Grab ID","Profile ID","Sample Number","Collect DateTime","Depth (m)","Site Type","Area","Locator","Site","Parameter","Value","Units","QualityId","Lab Qualifier","MDL","RDL","Text Value","Sample Info","Steward Note","Replicates","Replicate Of","Method","Date Analyzed","Data Source"
"219367","219252","86991","L81937-3","07/12/2023 09:24:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Surface Light Intensity (PAR)","1450","umol/sm2","1",,,,,,,,,"CTD","07/12/2023","KCEL"
"215018","215018","85981","L80958-12","02/15/2023 12:43:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Surface Light Intensity (PAR)","1950","umol/sm2","1",,,,,,,,,"CTD","02/15/2023","KCEL"
"219343","219343","86989","L82405-15","09/28/2023 09:38:00 AM","11.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Surface Light Intensity (PAR)","475","umol/sm2","1",,,,,,,,,"CTD","09/28/2023","KCEL"
"231541","231541","89562","L85424-14","02/26/2025 01:17:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Nitrite + Nitrate Nitrogen","0.0608","mg/L","1",,"0.01","0.04",,,,,,"SM4500-NO3-F","02/28/2025","KCEL"
"212474","212474","84593","L79585-4","07/13/2022 10:31:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Suspended Solids","4.4","mg/L","1","<RDL","0.5","10",,,,,,"SM2540-D","07/18/2022","KCEL"
"219252","219252","86991","L81937-4","07/12/2023 09:24:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Suspended Solids","3.4","mg/L","1","<RDL","0.5","10",,,,,,"SM2540-D","07/14/2023","KCEL"
"219371","219371","86996","L82110-13","08/29/2023 12:27:00 PM","0.99","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Orthophosphate Phosphorus","0.0583","mg/L","1",,"0.005","0.01",,,,,,"SM4500-P-F S","08/31/2023","KCEL"
"207150","207150","84183","L79202-3","06/01/2022 12:16:00 PM","177.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Density","1023.81","kg/m3","1",,,,,,,,,"CTD","06/01/2022","KCEL"
"215035","215035","85991","L80958-9","02/15/2023 12:28:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Total Suspended Solids","7.3","mg/L","3","<RDL,SH","1.1","22.2","Samples in oven >4hrs at 16hrs",,"CRA",,,"SM2540-D","02/17/2023","KCEL"
"206004","206004","83873","L78658-6","03/01/2022 12:26:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Nitrite + Nitrate Nitrogen","0.28","mg/L","1",,"0.01","0.04",,,,,,"SM4500-NO3-F","03/03/2022","KCEL"
"230617","230617","89284","L84950-14","11/14/2024 01:23:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Salinity, Field","25.1","PSS","1",,,,,,,,,"CTD","11/14/2024","KCEL"
"219285","219285","86976","L82405-11","09/28/2023 09:55:00 AM","1.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Chlorophyll, Field","1.8","ug/L","1",,"0.06","0.12",,,,,,"CTD","09/28/2023","KCEL"
"215047","215047","85982","L81318-8","04/26/2023 01:26:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Ammonia Nitrogen",,"mg/L","1","<MDL","0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","04/27/2023","KCEL"
"227180","227180","88518","L83328-1","03/13/2024 08:55:00 AM","1.10","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Chlorophyll, Field","0.66","ug/L","1",,"0.06","0.12",,,,,,"CTD","03/13/2024","KCEL"
"211206","211206","85080","L79796-1","08/11/2022 12:23:00 PM","0.99","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Chlorophyll, Field","1.9","ug/L","1",,"0.06","0.12",,,,,,"CTD","08/11/2022","KCEL"
"221265","221265","87416","L82802-9","12/20/2023 01:08:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Nitrite + Nitrate Nitrogen","0.305","mg/L","1",,"0.01","0.04",,,,,,"SM4500-NO3-F","12/21/2023","KCEL"
"206770","206770","84275","L79041-1","04/27/2022 09:07:00 AM","1.10","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Salinity, Field","24.4","PSS","1",,,,,,,,,"CTD","04/27/2022","KCEL"
"215014","215014","85995","L81078-6","03/15/2023 09:52:00 AM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Dissolved Oxygen, Field","9.3","mg/L","1",,"0.5","1",,,,,,"CTD","03/15/2023","KCEL"
"212570","212569","85490","L80752-4","01/11/2023 10:43:00 AM","190.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Ammonia Nitrogen",,"mg/L","1","<MDL","0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","01/13/2023","KCEL"
"219305","219305","86994","L81944-6","07/26/2023 11:00:00 AM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Density","1022.6","kg/m3","1",,,,,,,,,"CTD","07/26/2023","KCEL"
"231538","231538","89567","L85424-7","02/26/2025 10:13:00 AM","10.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Ammonia Nitrogen","0.0225","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","02/28/2025","KCEL"
"219259","219258","86977","L82528-4","10/11/2023 08:45:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Suspended Solids","4.8","mg/L","1","<RDL","0.5","10",,,,,,"SM2540-D","10/16/2023","KCEL"
"221262","221262","87418","L82802-12","12/20/2023 12:45:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Surface Light Intensity (PAR)","271","umol/sm2","1",,,,,,,,,"CTD","12/20/2023","KCEL"
"227138","227138","88505","L83498-3","04/10/2024 08:54:00 AM","194.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Salinity","29.6","PSS","1",,"2","3",,,,,,"SM2520-B","05/03/2024","KCEL"
"206042","205994","83871","L78800-8","03/15/2022 12:07:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Chlorophyll a","35.4","ug/L","1",,"0.05","0.1",,,,,,"EPA 445.0","03/24/2022","KCEL"
"219298","219297","86969","L82405-4","09/28/2023 11:45:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Temperature","12.3","deg C","1",,,,,,,,,"CTD","09/28/2023","KCEL"
"215055","215055","85989","L81078-15","03/15/2023 01:05:00 PM","12.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Surface Light Intensity (PAR)","979","umol/sm2","1",,,,,,,,,"CTD","03/15/2023","KCEL"
"205452","205452","83846","L78800-1","03/15/2022 08:48:00 AM","0.97","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Nitrogen","0.333","mg/L","1",,"0.05","0.1",,,,,,"SM4500-N-C S","03/17/2022","KCEL"
"212515","212515","85070","L80234-9","09/28/2022 12:24:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Pheophytin a","4.96","ug/L","1",,"1.6","3.24",,,,,,"EPA445.0","10/21/2022","KCEL"
"219276","219276","86967","L82281-11","09/13/2023 12:55:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Light Intensity (PAR)","952","umol/sm2","1",,,,,,,,,"CTD","09/13/2023","KCEL"
"205456","205456","83871","L78800-7","03/15/2022 12:06:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Dissolved Oxygen, Field","12.3","mg/L","1",,"0.5","1",,,,,,"CTD","03/15/2022","KCEL"
"219367","219252","86991","L81937-3","07/12/2023 09:24:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Dissolved Oxygen","5.88","mg/L","1",,"0.1","0.5",,,,,,"SM4500-O-C","07/12/2023","KCEL"
"206031","206031","83846","L78800-2","03/15/2022 08:47:00 AM","4.90","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Nitrogen","0.371","mg/L","1",,"0.05","0.1",,,,,,"SM4500-N-C S","03/17/2022","KCEL"
"231540","231540","89562","L85424-13","02/26/2025 01:18:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Light Transmissivity","46.6","% light","1",,"0.01","0.02",,,,,,"CTD","02/26/2025","KCEL"
"227132","227132","88502","L83328-15","03/13/2024 10:44:00 AM","14.10","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Total Nitrogen","0.36","mg/L","1",,"0.05","0.2",,,,,,"SM4500-N-C S","03/27/2024","KCEL"
"231533","231533","89562","L85424-15","02/26/2025 01:16:00 PM","13.90","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Density","1021.8","kg/m3","1",,,,,,,,,"CTD","02/26/2025","KCEL"
"229407","229407","88981","L84824-12","10/16/2024 01:16:00 PM","4.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Dissolved Oxygen, Field","11.4","mg/L","1",,"0.5","1",,,,,,"CTD","10/16/2024","KCEL"
"219228","219228","86256","L81718-1","06/27/2023 09:02:00 AM","1.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Pheophytin a","1.9","ug/L","1","<RDL","0.71","2.84",,,,,,"EPA445.0","07/17/2023","KCEL"
"219275","219275","86982","L82763-15","11/07/2023 11:59:00 AM","16.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Chlorophyll, Field","1.3","ug/L","1",,"0.06","0.12",,,,,,"CTD","11/07/2023","KCEL"
"229414","229414","88985","L84533-11","09/18/2024 12:39:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Density","1019.99","kg/m3","1",,,,,,,,,"CTD","09/18/2024","KCEL"
"212471","212471","84744","L79610-2","07/27/2022 10:56:00 AM","5.10","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Suspended Solids","1.9","mg/L","1","<RDL","0.53","10.5",,,,,,"SM2540-D","08/01/2022","KCEL"
"219341","219341","86974","L82037-7","08/16/2023 10:06:00 AM","8.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Total Suspended Solids","3.4","mg/L","1","<RDL","0.53","10.5",,,,,,"SM2540-D","08/22/2023","KCEL"
"219369","219369","86992","L82637-5","10/25/2023 09:15:00 AM","1.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Ammonia Nitrogen","0.0247","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","10/26/2023","KCEL"
"212491","212491","85084","L79955-3","08/24/2022 08:41:00 AM","186.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Ammonia Nitrogen","0.0364","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","08/26/2022","KCEL"
"212531","212531","85103","L80360-3","10/26/2022 08:50:00 AM","185.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Density","1024.36","kg/m3","1",,,,,,,,,"CTD","10/26/2022","KCEL"
"219274","219274","86982","L82763-14","11/07/2023 12:00:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Silica","3.43","mg/L","1",,"0.05","0.2",,,,,,"WHITLEDGE 1981","11/16/2023","KCEL"
"212557","212557","85489","L80539-6","12/14/2022 03:16:00 PM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Light Transmissivity","82.2","% light","1",,"0.01","0.02",,,,,,"CTD","12/14/2022","KCEL"
"219330","219330","86986","L82637-3","10/25/2023 09:48:00 AM","188.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Ammonia Nitrogen",,"mg/L","1","<MDL","0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","10/26/2023","KCEL"
"216058","216058","86264","L81232-8","05/10/2023 11:53:00 AM","1.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Temperature","11.1","deg C","1",,,,,,,,,"CTD","05/10/2023","KCEL"
"215058","215058","85998","L81134-1","03/29/2023 09:11:00 AM","1.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Temperature","8.89","deg C","1",,,,,,,,,"CTD","03/29/2023","KCEL"
"219312","219312","86996","L82110-15","08/29/2023 12:25:00 PM","10.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Chlorophyll, Field","0.75","ug/L","1",,"0.06","0.12",,,,,,"CTD","08/29/2023","KCEL"
"212459","212459","84742","L79610-12","07/27/2022 12:45:00 PM","3.10","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Total Nitrogen","0.298","mg/L","1",,"0.05","0.1",,,,,,"SM4500-N-C S","07/28/2022","KCEL"
"229410","229410","88977","L84312-12","08/14/2024 02:01:00 PM","4.70","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Pheophytin a",,"ug/L","1","<MDL","1.6","6.26",,,,,,"EPA445.0","08/27/2024","KCEL"
"219249","219249","86990","L82637-12","10/25/2023 12:22:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Light Transmissivity","79.9","% light","1",,"0.01","0.02",,,,,,"CTD","10/25/2023","KCEL"
"231544","231544","89570","L85424-9","02/26/2025 12:36:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Ammonia Nitrogen","0.0417","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","02/28/2025","KCEL"
"219260","219260","86987","L82281-3","09/13/2023 08:47:00 AM","188.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Temperature","12.2","deg C","1",,,,,,,,,"CTD","09/13/2023","KCEL"
"216074","216074","86269","L81609-14","05/25/2023 12:40:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Salinity, Field","28.2","PSS","1",,,,,,,,,"CTD","05/25/2023","KCEL"
"212483","212483","85085","L79796-6","08/11/2022 02:39:00 PM","5.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Salinity, Field","28.8","PSS","1",,,,,,,,,"CTD","08/11/2022","KCEL"
"215063","215063","85987","L80958-13","02/15/2023 01:20:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Pheophytin a","1.3","ug/L","6","<RDL,JG","0.86","1.73",,,"CLB",,,"EPA445.0","02/28/2023","KCEL"
"206006","206006","83980","L78993-8","04/20/2022 12:32:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Orthophosphate Phosphorus",,"mg/L","1","<MDL","0.005","0.01",,,,,,"SM4500-P-F S","05/03/2022","KCEL"
"207664","207664","84292","L79420-12","06/29/2022 09:43:00 AM","4.90","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Chlorophyll a","8.59","ug/L","1",,"0.05","0.1",,,,,,"EPA 445.0","07/08/2022","KCEL"
"206021","206021","83877","L78829-4","03/30/2022 08:48:00 AM","190.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Total Nitrogen","0.427","mg/L","1",,"0.05","0.1",,,,,,"SM4500-N-C S","03/31/2022","KCEL"
"226886","226886","88465","L83104-5","01/23/2024 09:29:00 AM","1.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Secchi Transparency","0.9","m","1",,,,,,,,,"NONE","01/23/2024","KCEL"
"227154","227154","88517","L83498-9","04/10/2024 02:27:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Total Nitrogen","0.216","mg/L","1",,"0.05","0.2",,,,,,"SM4500-N-C S","04/15/2024","KCEL"
"219252","219252","86991","L81937-4","07/12/2023 09:24:00 AM","187.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Chlorophyll, Field","0.33","ug/L","1",,"0.06","0.12",,,,,,"CTD","07/12/2023","KCEL"
"212558","212558","85489","L80539-7","12/14/2022 03:15:00 PM","9.00","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Orthophosphate Phosphorus","0.0778","mg/L","1",,"0.005","0.01",,,,,,"SM4500-P-F S","12/15/2022","KCEL"
"227124","227124","88525","L83260-5","02/13/2024 01:14:00 PM","1.10","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Total Suspended Solids","7.2","mg/L","1","<RDL","0.53","10.5",,,,,,"SM2540-D","02/21/2024","KCEL"
"219310","219310","86978","L82637-8","10/25/2023 11:22:00 AM","1.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Nitrite + Nitrate Nitrogen","0.153","mg/L","1",,"0.01","0.04",,,,,,"SM4500-NO3-F","10/26/2023","KCEL"
"212541","212541","85102","L80455-3","11/08/2022 09:08:00 AM","184.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Dissolved Oxygen, Field","4.9","mg/L","1",,"0.5","1",,,,,,"CTD","11/08/2022","KCEL"
"215063","215063","85987","L80958-13","02/15/2023 01:20:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Chlorophyll, Field","1.9","ug/L","1",,"0.06","0.12",,,,,,"CTD","02/15/2023","KCEL"
"206011","206011","83665","L78512-3","02/03/2022 09:30:00 AM","9.90","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Dissolved Oxygen, Field","7.8","mg/L","1",,"0.5","1",,,,,,"CTD","02/03/2022","KCEL"
"216071","216071","86263","L81632-14","06/14/2023 11:55:00 AM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Ammonia Nitrogen","0.0678","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","06/16/2023","KCEL"
"232007","232007","89648","L85602-7","03/12/2025 10:00:00 AM","8.70","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Total Nitrogen","0.358","mg/L","1",,"0.05","0.2",,,,,,"SM4500-N-C S","03/18/2025","KCEL"
"226883","226883","88466","L83104-13","01/23/2024 12:38:00 PM","0.99","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Pheophytin a","0.38","ug/L","1","<RDL","0.12","0.5",,,,,,"EPA445.0","02/05/2024","KCEL"
"230736","230736","89297","L85195-10","12/09/2024 12:58:00 PM","26.80","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Silica","4.39","mg/L","1",,"0.05","0.2",,,,,,"WHITLEDGE 1981","12/11/2024","KCEL"
"212507","212507","85088","L80234-12","09/28/2022 12:37:00 PM","4.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Light Transmissivity","83.2","% light","1",,"0.01","0.02",,,,,,"CTD","09/28/2022","KCEL"
"229397","229397","88976","L84533-14","09/18/2024 12:26:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Ammonia Nitrogen","0.011","mg/L","1",,"0.002","0.01",,,,,,"KEROUEL & AMINOT 1997","09/20/2024","KCEL"
"211216","211216","85084","L79955-1","08/24/2022 08:51:00 AM","1.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Chlorophyll a","5.13","ug/L","1",,"0.05","0.1",,,,,,"EPA 445.0","08/31/2022","KCEL"
"231536","231536","89569","L85424-3","02/26/2025 09:03:00 AM","186.40","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Temperature","8.22","deg C","1",,,,,,,,,"CTD","02/26/2025","KCEL"
"212564","212564","85481","L80752-12","01/11/2023 12:34:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Temperature","7.69","deg C","1",,,,,,,,,"CTD","01/11/2023","KCEL"
"215022","215022","85988","L81318-1","04/26/2023 10:04:00 AM","1.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Nitrite + Nitrate Nitrogen",,"mg/L","1","<MDL","0.01","0.04",,,,,,"SM4500-NO3-F","04/27/2023","KCEL"
"206002","206002","83980","L78993-9","04/20/2022 12:31:00 PM","5.00","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Density","1017.86","kg/m3","1",,,,,,,,,"CTD","04/20/2022","KCEL"
"227098","227098","88502","L83328-13","03/13/2024 10:46:00 AM","1.10","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Chlorophyll a","1.47","ug/L","1",,"0.05","0.2",,,,,,"EPA 445.0","04/01/2024","KCEL"
"230621","230621","89282","L84950-7","11/14/2024 09:25:00 AM","9.50","Marine Offshore","Whidbey","PSUSANBUOY","Port Susan - Stillaguamish buoy","Chlorophyll, Field","0.18","ug/L","1",,"0.06","0.12",,,,,,"CTD","11/14/2024","KCEL"
"231997","231997","89623","L85602-11","03/12/2025 12:11:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVECW","Penn Cove - Coupeville wharf","Secchi Transparency",,"m","9",,,,">4.3",,"See Text Value",,,"NONE","03/12/2025","KCEL"
"219371","219371","86996","L82110-13","08/29/2023 12:27:00 PM","0.99","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Surface Light Intensity (PAR)","427","umol/sm2","1",,,,,,,,,"CTD","08/29/2023","KCEL"
"230736","230736","89297","L85195-10","12/09/2024 12:58:00 PM","26.80","Marine Offshore","Whidbey","PENNCOVEENT","Penn Cove entrance","Chlorophyll, Field","0.065","ug/L","1","<RDL","0.06","0.12",,,,,,"CTD","12/09/2024","KCEL"
"216073","216073","86269","L81609-13","05/25/2023 12:41:00 PM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Total Suspended Solids","2.4","mg/L","1","<RDL","0.5","10",,,,,,"SM2540-D","06/01/2023","KCEL"
"219327","219327","86985","L82528-13","10/11/2023 11:51:00 AM","1.00","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Dissolved Oxygen, Field","10","mg/L","1",,"0.5","1",,,,,,"CTD","10/11/2023","KCEL"
"227136","227136","88505","L83498-1","04/10/2024 09:04:00 AM","1.00","Marine Offshore","Whidbey","SARATOGACH","Saratoga Passage - SW Camano Head","Orthophosphate Phosphorus","0.021","mg/L","1",,"0.005","0.01",,,,,,"SM4500-P-F S","04/11/2024","KCEL"
"229402","229402","88986","L84824-14","10/16/2024 01:40:00 PM","4.90","Marine Offshore","Whidbey","PENNCOVEWEST","Penn Cove - west end","Surface Light Intensity (PAR)","2250","umol/sm2","1",,,,,,,,,"CTD","10/16/2024","KCEL"
